n_sensors,msg_p_s,p_extra,p_missing,p_wrong,avg_ips,avg_ops,avg_batch_duration
10,100,0,0,0,101.00735724983431,101.91194682562562,14723.307692307691
10,100,0,0,0,98.8381467186616,96.15428148466914,15887.567567567568
10,100,0,0,0,98.37031357288107,95.25154656085705,17790.969696969696
10,100,0,0,0.25,98.92325605780808,96.49924928682415,15932.864864864865
10,100,0.25,0,0,102.03432806904542,95.87290761788319,16367.277777777777
10,100,0,0.25,0,103.16697081702696,98.73064168933726,17488.757575757576
10,100,0,0,0.5,101.01290465239592,93.00628486407813,16733.848484848484
10,100,0.5,0,0,98.4146719847147,94.93179503478184,17256.529411764706
10,100,0,0.5,0,98.3054674892971,96.97262447679029,17789.60606060606
10,100,0,0,0.75,98.60480957768141,94.85537928520715,17738.545454545456
10,100,0.75,0,0,102.02400935828817,94.12167982768443,21295.925925925927
10,100,0,0.75,0,100.58594588912443,96.06588671062065,21446.59259259259
10,100,0,0,1,99.4722552210492,98.7784534957963,24293.347826086956
10,100,1,0,0,95.38802598667105,89.66662974452633,22924.68
10,100,0,1,0,96.37074496210248,93.98927412060927,23161.2
10,100,0.0,0.0,0.5,98.70255066987035,97.42375226992715,17139.882352941175
10,100,0.5,0.0,0.0,99.16532485770036,95.03389154063751,15844.405405405405
10,100,0.0,0.5,0.0,98.24028270742424,94.58450739053241,16849.91176470588
10,100,0.0,0.0,0,100.32863625029462,97.7708732503136,19434.5
10,100,0,0.0,0.0,96.62677747130215,94.69722656870906,19284.5
10,100,0.0,0,0.0,102.64132539362157,96.0536819301555,18344.09375
10,100,0.0,0.0,0.25,99.59663964306884,99.09281003274403,17901.064516129034
10,100,0.25,0.0,0.0,105.21870877724058,91.61722792376476,17477.333333333332
10,100,0.0,0.25,0.0,101.97654392271852,94.53389082876065,18240.28125
10,100,0.0,0.0,0.5,101.900950113974,96.33253449206688,18141.59375
10,100,0.5,0.0,0.0,98.50958883386646,95.66050363711452,17604.39393939394
10,100,0.0,0.5,0.0,101.72238116109632,95.16504552280354,17561.909090909092
10,100,0.0,0.0,0.75,100.05558630257424,100.19286681841145,18183.65625
10,100,0.75,0.0,0.0,97.26978065130446,91.12060373957799,17862.78125
10,100,0.0,0.75,0.0,98.29054514885698,94.43577854545019,18077.4375
10,100,0.0,0.0,1,98.12930098464602,97.09703827212348,18479.8125
10,100,1,0.0,0.0,97.54303672099182,95.6431486588275,17808.030303030304
10,100,0.0,1,0.0,98.61680928315822,95.4349409738919,17238.647058823528